orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.380000000000000000,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.610000000000000000,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.830000000000000000,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.340000000000000000,Victuailles en stock,2 rue du Commerce,Lyon,,69004,France
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.300000000000000000,Suprêmes délices,Boulevard Tirou 255,Charleroi,,B-6000,Belgium
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.170000000000000000,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.980000000000000000,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.330000000000000000,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.970000000000000000,Wellington Importadora,Rua do Mercado 12,Resende,SP,08737-363,Brazil
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.910000000000000000,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.510000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.250000000000000000,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.090000000000000000,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.050000000000000000,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.290000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.060000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
